app_key,store,app_id,country,lang,review_id,user_name,rating,title,body,version,at,special_reviews
play:cc.forestapp,PlayStore,cc.forestapp,au,en,5759841e-d12b-4f7f-8873-5327f12ab35b,Sofiqul Islam,4,,one of the best apps I have ever seen..,,2025-10-23T04:13:03Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,de20cf00-c0ad-42c9-a3a7-433570d850ae,Misti,4,4.99.1,It's a good app but it always shows notifications in its store and setting but when I click it it doesnt show any notification,4.99.1,2025-10-23T03:18:12Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,b517c13d-cd36-4a4c-a3c8-5ea729ffaf75,Kushal Mathankar,5,4.99.1,nice app for focus,4.99.1,2025-10-23T03:08:55Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,357f32bb-1d36-4419-b3a6-5b925eea7ef2,Umme Habiba,5,4.99.1,it's help us to focus in study 😁. I really feel good when I get reward.,4.99.1,2025-10-23T01:02:13Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,32c627eb-51c0-427f-b7c7-199c1b3d932d,Deepak Sai Surya,5,4.98.0,A must try app for students.. It tracks the time that student has focused. The more time he invested the more trees will be planted. This app will definitely help students and can increase their focus and concentration 👋..,4.98.0,2025-10-23T00:43:53Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,49efe423-1024-4feb-b8b9-c9695a3326dc,Beth,2,,Found it very helpful but then it started lagging alot and I just gave up,,2025-10-22T17:47:28Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,7a7c7b2e-8df8-4b06-befe-40397a8e7cfa,Kanzyehab,5,4.99.1,☺️☺️,4.99.1,2025-10-22T17:37:00Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,7be4f32b-9c03-459b-86ab-8b260212d906,Alim Qafarov,5,4.99.1,perfect 😻 🥰,4.99.1,2025-10-22T17:04:00Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,56a012e3-6981-47d3-bf5f-1bd84a4da6a8,Joynul Abedin,1,,what's wrong with this app? I mean it doesn’t working at all. Everytime i open this app and then i got a notification ( forest is a bug),,2025-10-22T15:28:54Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,99f46dd9-0e22-430c-a410-1ad7c58ee290,ASHFAK NADAF,5,4.99.1,This app motivation me ⚡ when I want to give up my study this aap helps to being motivate ❤️‍🔥,4.99.1,2025-10-22T13:54:16Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,13ac9f2e-c788-4e7e-8220-55b621263117,Emon Hasan,3,4.99.1,"Black Theme & Few New Options Like Targeted forest for this month,week etc.",4.99.1,2025-10-22T12:19:52Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,dc3cb4b0-f4e9-4588-afdb-41023d3ffb0a,Mhamed Lehbab,1,,Even after resetting the password I keep getting a password error. The app is broken.,,2025-10-22T12:03:21Z,False
play:cc.forestapp,PlayStore,cc.forestapp,au,en,ebbd7c40-9276-436f-9463-7d6ecb102a69,Jana Adam,5,4.99.1,good,4.99.1,2025-10-22T11:12:12Z,False
