app_key,store,app_id,country,lang,review_id,user_name,rating,title,body,version,at,special_reviews,sentiment_score,sentiment_label,text,ML_Sentiment,combined_text
play:cc.forestapp,PlayStore,cc.forestapp,au,en,b517c13d-cd36-4a4c-a3c8-5ea729ffaf75,Kushal Mathankar,5,4.99.1,nice app for focus,4.99.1,2025-10-23T03:08:55Z,False,0.4215,positive,4.99.1. nice app for focus,Positive,4.99.1. nice app for focus
play:cc.forestapp,PlayStore,cc.forestapp,au,en,357f32bb-1d36-4419-b3a6-5b925eea7ef2,Umme Habiba,5,4.99.1,it's help us to focus in study 😁. I really feel good when I get reward.,4.99.1,2025-10-23T01:02:13Z,False,0.9114,positive,4.99.1. it's help us to focus in study 😁. I really feel good when I get reward.,Positive,4.99.1. it's help us to focus in study 😁. I really feel good when I get reward.
play:cc.forestapp,PlayStore,cc.forestapp,au,en,32c627eb-51c0-427f-b7c7-199c1b3d932d,Deepak Sai Surya,5,4.98.0,A must try app for students.. It tracks the time that student has focused. The more time he invested the more trees will be planted. This app will definitely help students and can increase their focus and concentration 👋..,4.98.0,2025-10-23T00:43:53Z,False,0.91,positive,4.98.0. A must try app for students.. It tracks the time that student has focused. The more time he invested the more trees will be planted. This app will definitely help students and can increase their focus and concentration 👋..,Positive,4.98.0. A must try app for students.. It tracks the time that student has focused. The more time he invested the more trees will be planted. This app will definitely help students and can increase their focus and concentration 👋..
play:cc.forestapp,PlayStore,cc.forestapp,au,en,aeb30873-7574-4472-b4c0-e99fa0264aba,Raghav Garg,5,4.99.1,"It is so great. The idea and concept, all works out well enough. Not even addictive, but yes, it surely makes you focus a lot. There are no problems, but a minor sugggestion, please don't have premium option visible on the home page all time, if you have the older paid version.",4.99.1,2025-10-22T05:40:45Z,False,0.951,positive,"4.99.1. It is so great. The idea and concept, all works out well enough. Not even addictive, but yes, it surely makes you focus a lot. There are no problems, but a minor sugggestion, please don't have premium option visible on the home page all time, if you have the older paid version.",Positive,"4.99.1. It is so great. The idea and concept, all works out well enough. Not even addictive, but yes, it surely makes you focus a lot. There are no problems, but a minor sugggestion, please don't have premium option visible on the home page all time, if you have the older paid version."
play:cc.forestapp,PlayStore,cc.forestapp,au,en,4640a165-1d5b-4941-bd5d-fe20946a313f,Lynn Hall,1,4.99.1,"The ""submit a suggestion"" link is broken. It seems like it's supposed to go to a Google form, but it seems that the form file was deleted. I figure a 1* rating will get their attention. The suggestion I was going to make was to allow the app to flip to landscape orientation, according to system settings. Currently, it only allows for portrait view, and that kind of missing feature lags behind other apps.",4.99.1,2025-10-21T23:41:50Z,False,-0.664,negative,"4.99.1. The ""submit a suggestion"" link is broken. It seems like it's supposed to go to a Google form, but it seems that the form file was deleted. I figure a 1* rating will get their attention. The suggestion I was going to make was to allow the app to flip to landscape orientation, according to system settings. Currently, it only allows for portrait view, and that kind of missing feature lags behind other apps.",Negative,"4.99.1. The ""submit a suggestion"" link is broken. It seems like it's supposed to go to a Google form, but it seems that the form file was deleted. I figure a 1* rating will get their attention. The suggestion I was going to make was to allow the app to flip to landscape orientation, according to system settings. Currently, it only allows for portrait view, and that kind of missing feature lags behind other apps."
play:cc.forestapp,PlayStore,cc.forestapp,au,en,402753f7-dd48-48d2-995c-a56b4f0f0303,Asif Pasha,5,,"best ap to focus , you will focus and enjoy also this app😀",,2025-10-21T03:40:36Z,False,0.872,positive,"best ap to focus , you will focus and enjoy also this app😀",Positive,"best ap to focus , you will focus and enjoy also this app😀"
play:cc.forestapp,PlayStore,cc.forestapp,au,en,0512bbfd-8a46-49e1-a58b-501f7aeca172,ANITA KSHIRSAGAR,4,4.99.1,This app is very useful to improve and track ur focus but U may add some more time in that timer like it might be of 6-10 hrs. U should add options for those who wanna focus for more hrs as we need to set timer every 3 hrs again.,4.99.1,2025-10-20T02:13:21Z,True,0.7527,positive,4.99.1. This app is very useful to improve and track ur focus but U may add some more time in that timer like it might be of 6-10 hrs. U should add options for those who wanna focus for more hrs as we need to set timer every 3 hrs again.,Positive,4.99.1. This app is very useful to improve and track ur focus but U may add some more time in that timer like it might be of 6-10 hrs. U should add options for those who wanna focus for more hrs as we need to set timer every 3 hrs again.
play:cc.forestapp,PlayStore,cc.forestapp,au,en,08e4d112-1770-4d71-bd2c-f524f6546d30,Lethukukhanya Mpilo Shoba,5,4.99.1,The app is best for deep focus.,4.99.1,2025-10-19T16:41:11Z,False,0.6369,positive,4.99.1. The app is best for deep focus.,Positive,4.99.1. The app is best for deep focus.
play:cc.forestapp,PlayStore,cc.forestapp,au,en,bf7a594e-1491-4844-94f5-1acd9783ca41,Titu Maiorescu,3,4.99.1,"I have been having some problems with the rewarded ads for the past few months, the setting for getting them keeps ticking itself off randomly. Besides that, I've been having issues with the focus challenge for way longer. Tiny stuff, such as time limit display issues, the rewards having a hard time loading, or even not loading at all after completing the challenge. I have just left the beta test, I want to see if the app will work better now. Update, it's still just as broken as before...",4.99.1,2025-10-19T14:07:34Z,False,0.5994,positive,"4.99.1. I have been having some problems with the rewarded ads for the past few months, the setting for getting them keeps ticking itself off randomly. Besides that, I've been having issues with the focus challenge for way longer. Tiny stuff, such as time limit display issues, the rewards having a hard time loading, or even not loading at all after completing the challenge. I have just left the beta test, I want to see if the app will work better now. Update, it's still just as broken as before...",Negative,"4.99.1. I have been having some problems with the rewarded ads for the past few months, the setting for getting them keeps ticking itself off randomly. Besides that, I've been having issues with the focus challenge for way longer. Tiny stuff, such as time limit display issues, the rewards having a hard time loading, or even not loading at all after completing the challenge. I have just left the beta test, I want to see if the app will work better now. Update, it's still just as broken as before..."
play:cc.forestapp,PlayStore,cc.forestapp,au,en,12b4caac-1b72-4632-87fe-05cf64fe7590,the jasomniax,1,4.99.1,"THE LAST UPDATE RUINED EVERYTHING! Before, paying just 5€, you could use many features like ""app allow list"" which allows you to select app you can use while in a focus session. But now THEY REMOVED THIS. Also the app has gotten much worse with some days NOTHING LOADING. I can't even subscribe to plus BECAUSE IT'S STUCK LOADING",4.99.1,2025-10-19T13:51:05Z,False,-0.8503,negative,"4.99.1. THE LAST UPDATE RUINED EVERYTHING! Before, paying just 5€, you could use many features like ""app allow list"" which allows you to select app you can use while in a focus session. But now THEY REMOVED THIS. Also the app has gotten much worse with some days NOTHING LOADING. I can't even subscribe to plus BECAUSE IT'S STUCK LOADING",Negative,"4.99.1. THE LAST UPDATE RUINED EVERYTHING! Before, paying just 5€, you could use many features like ""app allow list"" which allows you to select app you can use while in a focus session. But now THEY REMOVED THIS. Also the app has gotten much worse with some days NOTHING LOADING. I can't even subscribe to plus BECAUSE IT'S STUCK LOADING"
